state,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,total_area_km2,2003_pct,2009_pct,2015_pct,2021_pct,2003_class,2009_class,2015_class,2021_class
Johor,356922.0,355772.0,375864.0,391499.0,391499.0,441251.0,438751.0,432678.0,432208.0,432208.0,432209.0,432184.0,414637.0,414628.0,332749.0,332749.0,334292.0,334292.0,334502.0,18985,0.1880021069265209,0.2311040294969712,0.218402422965499,0.1761927837766657,Low (5–20%),Medium (20–35%),Medium (20–35%),Low (5–20%)
Kedah,344530.0,342613.0,342613.0,342613.0,342613.0,342613.0,342613.0,342613.0,342613.0,325463.0,341976.0,341976.0,341976.0,341976.0,341976.0,341976.0,341976.0,341976.0,341976.0,9425,0.3655490716180371,0.3635151193633952,0.3628392572944297,0.3628392572944297,High (35–45%),High (35–45%),High (35–45%),High (35–45%)
Kelantan,629687.0,629367.0,629687.0,629687.0,629687.0,623849.0,623849.0,623849.0,623849.0,623849.0,623849.0,623849.0,623849.0,635437.0,613275.0,613275.0,629775.0,629881.0,629881.0,14931,0.4217312973009176,0.4178213113656152,0.4178213113656152,0.4218612283169245,High (35–45%),High (35–45%),High (35–45%),High (35–45%)
Kuala Lumpur,61.0,61.0,61.0,61.0,61.0,61.0,63.0,63.0,63.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,244,0.0025,0.0025819672131147,0.0027868852459016,0.0027868852459016,Very Low (0–5%),Very Low (0–5%),Very Low (0–5%),Very Low (0–5%)
Labuan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98,0.0,0.0,0.0,0.0,Very Low (0–5%),Very Low (0–5%),Very Low (0–5%),Very Low (0–5%)
Melaka,5468.0,5185.0,5185.0,5159.0,5079.0,5080.0,5080.0,5079.0,4818.0,5151.0,5151.0,5093.0,5104.0,5137.0,5138.0,5199.0,5199.0,5199.0,5199.0,1650,0.0331393939393939,0.0307878787878787,0.0309333333333333,0.0315090909090909,Very Low (0–5%),Very Low (0–5%),Very Low (0–5%),Very Low (0–5%)
Negeri Sembilan,165639.0,162075.0,160151.0,156275.0,154185.0,155909.0,157058.0,153837.0,153459.0,154578.0,154676.0,155825.0,155708.0,155650.0,155650.0,155549.0,155492.0,155143.0,155143.0,6643,0.2493436700286015,0.2364263134126147,0.2343940990516333,0.2335435797079632,Medium (20–35%),Medium (20–35%),Medium (20–35%),Medium (20–35%)
Pahang,1524132.0,1524132.0,1519501.0,1519501.0,1484099.0,1562496.0,1562902.0,1562902.0,1562902.0,1562902.0,1562902.0,1562900.0,1563993.0,1559913.0,1558898.0,1559385.0,1550687.0,1545610.0,1588298.0,35965,0.4237820102877798,0.4345619352147921,0.4348652856944251,0.4416232448213541,High (35–45%),High (35–45%),High (35–45%),High (35–45%)
Perak,884205.0,884205.0,884205.0,884205.0,884205.0,873936.0,991436.0,987511.0,986262.0,983136.0,1003616.0,999967.0,999488.0,999473.0,995216.0,988914.0,988591.0,987632.0,986848.0,21005,0.4209497738633658,0.472,0.475833373006427,0.4698157581528208,High (35–45%),Very High (45%+),Very High (45%+),Very High (45%+)
Perlis,10718.0,10718.0,10718.0,10718.0,10718.0,10586.0,10808.0,10808.0,10799.0,10799.0,10799.0,10799.0,10799.0,10799.0,10615.0,10615.0,10628.0,10629.0,10629.0,795,0.134817610062893,0.1359496855345912,0.1358364779874213,0.1336981132075471,Low (5–20%),Low (5–20%),Low (5–20%),Low (5–20%)
Pulau Pinang,5139.0,5434.0,5434.0,5434.0,6098.0,6098.0,6098.0,6098.0,6098.0,6098.0,6060.0,6060.0,6060.0,6060.0,5101.0,5101.0,5101.0,5387.0,5387.0,1033,0.0497483059051306,0.0590319457889641,0.0586640851887705,0.0521490803484995,Very Low (0–5%),Low (5–20%),Low (5–20%),Low (5–20%)
Putrajaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,0.0,Very Low (0–5%),Very Low (0–5%),Very Low (0–5%),Very Low (0–5%)
Sabah,3563186.0,3543186.0,3523186.0,3503186.0,3604867.0,3604867.0,3604894.0,3606647.0,3606647.0,3609249.0,3614730.0,3615066.0,3551247.0,3540274.0,3540749.0,3540749.0,3541266.0,3574468.0,3574468.0,73711,0.4833994926130428,0.4890578068402273,0.4817797886339895,0.4849300647121868,Very High (45%+),Very High (45%+),Very High (45%+),Very High (45%+)
Sarawak,4836800.0,4806300.0,4779900.0,4778300.0,4692900.0,4681543.0,4583609.0,,,4337164.0,4368066.0,4352828.0,4320302.0,4317939.0,4274825.0,4209053.0,3964880.0,3964880.0,3964880.0,124449,0.3886572009417512,0.368312240355487,0.3471544166686755,0.318594765727326,High (35–45%),High (35–45%),Medium (20–35%),Medium (20–35%)
Selangor,233781.0,233781.0,239782.0,235212.0,241568.0,241568.0,247793.0,250129.0,250129.0,250129.0,250129.0,250129.0,250129.0,250129.0,250129.0,250210.0,250208.0,250208.0,250208.0,7910,0.295551201011378,0.3132654867256637,0.3162187104930468,0.3163185840707964,Medium (20–35%),Medium (20–35%),Medium (20–35%),Medium (20–35%)
Terengganu,535929.0,530162.0,538063.0,545818.0,545818.0,544118.0,544118.0,544118.0,539234.0,539232.0,544855.0,544937.0,544937.0,544883.0,542411.0,540309.0,540309.0,540309.0,540309.0,12955,0.413685063681976,0.420006175221922,0.4206383635661906,0.4170659976842917,High (35–45%),High (35–45%),High (35–45%),High (35–45%)
